Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1994","1994","t","38910.66","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1995","1995","t","52249.79","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1996","1996","t","29101.5","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1997","1997","t","58960.01","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1998","1998","t","43312.06","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","1999","1999","t","35114.82","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2000","2000","t","49536.46","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2001","2001","t","25046.8","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2002","2002","t","26699.87","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2003","2003","t","24685.48","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2004","2004","t","21596.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2005","2005","t","17952.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2006","2006","t","18551.44","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2007","2007","t","15437.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2008","2008","t","19848.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2009","2009","t","17239.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2010","2010","t","20100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2011","2011","t","18900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2012","2012","t","19500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2013","2013","t","18300","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2014","2014","t","24932.55","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2015","2015","t","28091.51","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2016","2016","t","21949.58","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2017","2017","t","23415.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2018","2018","t","25708.65","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2019","2019","t","23200","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2020","2020","t","23800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2021","2021","t","23800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2166","Coconut oil","2022","2022","t","27500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1972","1972","t","159500","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1973","1973","t","155455","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1974","1974","t","148916","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1975","1975","t","145578","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1976","1976","t","149975","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1977","1977","t","138347","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1978","1978","t","147732","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1979","1979","t","135527","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1980","1980","t","141652","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1981","1981","t","95088","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1982","1982","t","131607","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1983","1983","t","140438","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1984","1984","t","135878","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1985","1985","t","140695","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1986","1986","t","136615","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1987","1987","t","130125","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1988","1988","t","140545","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1989","1989","t","138589","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1990","1990","t","147845","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1991","1991","t","143305","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1992","1992","t","144040","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1993","1993","t","139880","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1994","1994","t","144170","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1995","1995","t","144000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1996","1996","t","138190","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1997","1997","t","141835","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1998","1998","t","138430","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","1999","1999","t","131000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2000","2000","t","134000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2001","2001","t","127000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2002","2002","t","150000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2003","2003","t","153455","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2004","2004","t","272230","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2005","2005","t","589410","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2006","2006","t","768655","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2007","2007","t","894255","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2008","2008","t","889260","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2009","2009","t","735140","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2010","2010","t","872081","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2011","2011","t","1051523","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2012","2012","t","1159259","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2013","2013","t","1168000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2014","2014","t","1387000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","t","1704402","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2016","2016","t","1735334","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","t","1866502","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2018","2018","t","1737714","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","t","1802868","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","t","1953800","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","t","2268754","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","t","2517070","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","2546994","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1972","1972","t","15133678","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1973","1973","t","17862704","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1974","1974","t","16929568","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1975","1975","t","19142624","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1976","1976","t","17628320","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1977","1977","t","19451488","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1978","1978","t","19582160","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1979","1979","t","19109472","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1980","1980","t","20821008","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1981","1981","t","20445872","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1982","1982","t","21324640","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1983","1983","t","21761008","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1984","1984","t","21933456","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1985","1985","t","22556288","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1986","1986","t","23110032","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1987","1987","t","23120624","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1988","1988","t","23316464","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1989","1989","t","26784480","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1990","1990","t","26777904","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1991","1991","t","27242000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1992","1992","t","27373000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1993","1993","t","26928000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1994","1994","t","25124000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1995","1995","t","26399000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1996","1996","t","28182000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1997","1997","t","28152000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1998","1998","t","29710000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","1999","1999","t","34430000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2000","2000","t","37627500","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2001","2001","t","36269000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2002","2002","t","37593000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2003","2003","t","38361420","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2004","2004","t","36235976","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2005","2005","t","39795616","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2006","2006","t","40773000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2007","2007","t","43181000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2008","2008","t","46742000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2009","2009","t","48144000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2010","2010","t","50061200","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2011","2011","t","50627000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2012","2012","t","50497000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2013","2013","t","51534000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2014","2014","t","51806593","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2015","2015","t","51805464","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2016","2016","t","50452866","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2017","2017","t","54148000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2018","2018","t","54416000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2019","2019","t","54586344","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2020","2020","t","54905891","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2021","2021","t","56383442","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2022","2022","t","57189193","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2023","2023","t","58613458","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2010","2010","t","27400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2011","2011","t","26600","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2012","2012","t","40400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2013","2013","t","79900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2014","2014","t","110400","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2015","2015","t","155500","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2016","2016","t","173800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2017","2017","t","184700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2018","2018","t","227100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2019","2019","t","292700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2020","2020","t","413100","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2021","2021","t","413900","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2022","2022","t","374000","X","Figure from external organization","Unofficial figure"
